10,200000,170123,158257,52372,27601,44126,151892,162182,128077,145451,16531,6463,2308,34829,7854,3904,224,21175,374051
10,200000,185015,176332,119824,27601,44126,171077,176732,154557,166420,59912,23011,7861,82533,30304,14074,842,60177,544832
17,200000,169926,161630,54662,27404,44143,151658,161922,132842,149392,17774,6704,2370,36059,8965,3937,218,19858,384722
17,200000,184772,178393,122790,27404,44143,170823,176433,157423,168974,62326,23664,8137,84315,34181,14114,806,57026,553860
19,200000,169894,164308,56317,27566,44255,151465,161889,136060,152408,18478,7100,2628,36861,7431,3450,255,19582,394868
19,200000,184890,180173,124751,27566,44255,170733,176551,159752,171133,64435,23956,8259,85585,28608,11889,876,55907,563377
7,200000,170011,156072,50439,27369,44398,151625,162000,125242,142620,15713,6373,2322,33460,8087,3060,213,20656,367226
7,200000,184866,174714,117911,27369,44398,170765,176504,152470,164261,58176,22590,7716,81247,31800,11339,842,59535,537566
14,200000,170168,161788,54607,27773,44118,151993,162175,132875,149411,17773,6672,2527,35855,8740,3624,242,19998,385828
14,200000,185136,178594,122986,27773,44118,171244,176806,157693,169072,62488,23501,8030,84597,32964,13194,808,57506,555037
8,200000,170081,158171,52811,27946,43754,151801,162056,128024,145146,16309,6851,2429,35211,8874,3554,232,19371,373724
8,200000,184876,176225,119853,27946,43754,170927,176524,154537,166337,59879,23004,7873,82625,34785,12373,907,55920,544233
18,200000,169937,155226,50988,27836,44269,151620,161879,124230,141705,15593,6387,2201,34203,7738,3212,186,23800,364505
18,200000,184890,174280,118112,27836,44269,170788,176509,152008,163791,58198,22580,7784,81272,31399,11860,771,64665,535931
5,200000,170121,156198,50905,27557,44005,152083,162217,125626,142950,15686,6347,2478,33863,7943,3328,240,16334,367695
5,200000,185112,174886,118092,27557,44005,171301,176850,152793,164702,58226,22827,7896,81459,31499,12420,832,49857,539435
6,200000,170067,154267,49781,27584,44251,151960,162207,123092,140797,14736,6298,2437,33357,7188,3862,295,19786,361462
6,200000,185070,173776,117311,27584,44251,171259,176863,151277,163326,57097,22519,7855,81152,29919,14260,993,58106,534152
11,200000,170282,160744,54133,27474,44434,152104,162291,131722,148351,17012,6935,2494,35816,9051,4318,246,18411,382365
11,200000,185101,177895,121853,27474,44434,171265,176766,156916,168313,61623,23427,8046,83550,35124,14933,757,53777,551752
20,200000,170453,162720,54970,27357,44403,151864,162338,133949,150499,18294,6758,2441,35863,9006,3661,277,28410,388579
20,200000,185208,179119,123288,27357,44403,171010,176764,158255,169737,63010,23798,8153,84537,33373,13064,984,73622,557771
4,200000,170093,160830,53643,27571,44208,151654,162079,131593,148336,17228,6470,2667,35440,8238,3635,298,26525,382685
4,200000,185076,178081,121953,27571,44208,171004,176699,156931,168459,61761,23382,8043,83824,31886,13490,916,70300,552118
3,200000,170045,165232,56503,27573,44082,151622,161948,137534,153432,18915,6755,2539,37202,9639,4369,278,14420,398578
3,200000,184926,180745,125771,27573,44082,170891,176506,160675,171688,64921,24476,8164,86458,35980,16425,971,44359,566632
12,200000,170211,161422,54315,27713,44236,152018,162315,132596,148975,17500,6752,2278,36051,9655,3955,254,18359,383953
12,200000,185015,178290,122594,27713,44236,171072,176812,157317,168741,61999,23427,8145,84511,36454,14074,962,53799,553168
15,200000,170036,160924,53679,27875,44082,151794,162088,131677,148296,17109,6726,2276,35567,9712,3328,241,18372,382251
15,200000,184969,177955,122339,27875,44082,170964,176681,156772,168257,61759,23554,8056,84067,37490,12209,935,53904,551839
9,200000,170068,162813,55121,27500,44165,151683,162012,134118,150627,17898,6777,2519,36341,8745,3049,279,25199,389056
9,200000,184966,179322,123415,27500,44165,170946,176551,158775,169963,62968,23645,8285,84811,33051,11123,1018,67630,558490
2,200000,170047,161140,53621,27752,43929,151985,162085,132270,148668,17339,6616,2417,35255,8389,4196,242,23000,383580
2,200000,184889,178135,122262,27752,43929,170897,176591,157266,168547,61765,23509,8092,84092,32331,15249,853,64421,552427
16,200000,170323,159122,52662,27822,44192,151846,162129,129216,146331,16602,6766,2339,34874,7455,3744,214,20962,375571
16,200000,185065,176756,120303,27822,44192,171051,176548,155158,166840,60434,23193,7883,82641,29435,13446,767,59619,545850
1,200000,170204,162473,54548,27633,44459,151687,161988,133535,150177,17580,6752,2589,35867,9427,3540,308,18576,388099
1,200000,185006,178977,122704,27633,44459,170837,176454,157942,169398,62621,23542,8137,84115,36028,12718,898,54487,557301
13,200000,169918,164412,56367,27599,43892,151703,161923,136112,152332,18822,7395,2251,36732,10295,3881,234,17461,394603
13,200000,185033,180331,125036,27599,43892,171099,176725,159993,171223,64325,24130,8132,85668,37543,13111,927,51875,563933
26,200000,170073,154321,50184,27661,43964,151654,162075,123202,140807,15098,6441,2416,33542,7633,3413,241,22382,362752
26,200000,184908,173775,117250,27661,43964,170817,176579,151369,163308,57706,22498,7881,80703,31625,12347,831,62853,534864
21,200000,170155,159176,53129,27588,43882,151708,162125,129214,146418,17020,6363,2433,35246,7477,3016,249,16817,376709
21,200000,184987,176876,120724,27588,43882,170855,176645,155128,167009,60590,23084,7929,82944,28919,11454,841,49973,547093
34,200000,169756,157628,52402,27836,44051,151748,161938,127820,144842,16342,6617,2307,34927,8330,3069,246,16049,373103
34,200000,184956,176230,120138,27836,44051,171192,176790,154550,166332,60010,23242,7970,82727,33168,11062,852,48540,544735
27,200000,169922,160425,53495,27611,44359,151776,162036,131229,147896,16945,6777,2524,35132,8913,3820,275,21265,380880
27,200000,184983,177715,121965,27611,44359,171260,176758,156671,168128,61704,23362,7958,83793,34859,13618,904,61082,551354
30,200000,169821,156318,51349,27709,43866,151254,161725,125667,143182,15604,6789,2414,34175,7725,3413,264,18010,368248
30,200000,184948,174893,118596,27709,43866,170775,176506,152691,164751,58958,22777,7779,81513,31631,11944,815,53525,539544
31,200000,169888,168256,59511,27502,44266,151457,161818,141511,157007,20613,7332,2443,38690,10977,4046,331,26990,411015
31,200000,184912,182611,127981,27502,44266,170788,176500,163184,173892,67078,24930,8291,87381,38590,14172,1114,69898,577519
35,200000,170185,159219,52529,27604,44060,151661,162108,129512,146299,16900,5941,2183,35060,7882,2365,270,16854,377423
35,200000,184957,176945,120852,27604,44060,170862,176552,155294,167033,60391,23300,8015,83427,30813,9841,960,50823,547630
32,200000,170110,161093,54174,27726,44285,151881,162041,131722,148584,17869,6519,2327,35756,9311,3598,196,19429,384113
32,200000,185177,178120,122392,27726,44285,171196,176776,156969,168593,62030,23754,7945,84176,34995,13497,749,56032,554570
25,200000,170103,170319,61007,27863,43791,151734,162052,144285,159458,21844,7667,2503,39100,9423,3983,282,16676,420538
25,200000,185024,183780,129717,27863,43791,170985,176663,164968,175483,69636,25239,8561,88600,33002,13665,1039,49438,586415
36,200000,170001,158981,52224,27602,44114,151748,161960,129494,146309,16759,6627,2306,34534,8910,3550,238,17655,376939
36,200000,185015,176864,120718,27602,44114,171002,176647,155591,167173,60423,23159,7817,83488,34781,12880,881,53428,547888
22,200000,170254,156240,51130,27535,44403,152001,162291,125881,143071,15979,6031,2417,34141,7927,3020,260,18670,367687
22,200000,185127,175027,118963,27535,44403,171179,176844,153250,164925,58947,22914,7967,81904,31566,11981,937,55098,539599
